Title,Film,Year,Singer,Composer,Lyricist,Lyrics
tuu ne o rangiile kaisaa jaaduu kiyaa,kudrat,-1,lata,r d burman,majrooh, tuu ne o rangiile kaisaa jaaduu kiyaa	 tuu ne o rangiile kaisaa jaaduu kiyaa	piiyaa piiyaa bole matavaalaa jiiaa	baahon men chhupaa ke ye kyaa kiyaa o re piyaa o	tuu ne o rangiile kaisaa jaaduu kiyaa piiyaa piiyaa bole matavaalaa jiiaa	paas bulaa ke gale se lagaa ke tuu ne to badal daalii duniyaa nae hain nazaare nae hain ishaare rahii no vo kal vaalii duniyaa sapane dikhaake tuu ne ye kyaa kiyaa o re piyaa o	tuu ne o rangiile kaisaa jaaduu kiyaa piiyaa piiyaa bole matavaalaa jiiaa	o mere saajan kaisii ye dhadakan	shor machaane lagii man men	jaise laharaae nadiyaa kaa paanii	lahar uthe re mere tan men	lahar uthe re mere tan men	mujh men samaa ke ye kyaa kiyaa o re piyaa o	tuu ne o rangiile kaisaa jaaduu kiyaa piiyaa piiyaa bole matavaalaa jiiaa	baahon men chhupaa ke ye kyaa kiyaa o re piyaa o 
dil ko lagaakar hamane,anokhi ada,0,uma devi,naushad,shakeel,	dil ko lagaake hamane kuchh bhii naa paayaa	chain gavaayaa2	gam kaa fasaanaa kyaa sunaayen	kah naa paayen	haan haan gam kaa paayen	ye bhii naa sochaa haay bhuul ke2	jis bevafaa ko apanaa banaayaa hai vo paraayaa dil ko lagaake	gavaayaa	aankhon se dil khaaye dhokhe chup roke2	o duniyaa basii naa haay pyaar kii2	kaise bitaaye rog lagaayaa jii ko jalaayaa dil ko gavaayaa	de ke sahaaraa mujhako jhuutaa tumane luutaa2	bhuulii kahaanii hai chhed dii2	teraaa fasaanaa yaad naa aayaa hansake rulaayaa dil ko	gavaayaa 
unhen tuu bhuul jaa ai dil,naya ghar,-1,talat,shankarjaikishan,hasrat, unhen tuu bhuul jaa ai dil tadapane se bhii kyaa haasil	nazaare kar gay jaaduu nigaahen de gayiin dhokhaa uthe tuufaan kuchh aise ki duube pyaar ke saahil	hazaaron aarazuuon se basaayaa jisako pahaluu men jise samajhe the ham dilabar vah nikalaa sang dil qaatil	na jaane kaisii raahon par chalii hai zindagii merii ki jiinaa hii nahiin ab to meraa maranaa bhii hai mushkil	unhen tuu bhuul jaa ae dil
hai yahaan koii mard  das,dus,-1,saumyam anupama chorus shankar mahadevan dominic hema sardesai,sandip chawla,deepak choudhary, hai yahaan koii mard hindustaanii jo mujhe chhuu sake ho ho saansen merii tuufaanii bekaabuu ye javaanii kaabuu koii mujhape paa naa sakaa har ang men tan men chingaarii ye badan kii koii bujhaae bujhaa naa sakaa aa bujhaa de bas hosh udaa de das ho ho ho ho	jaaduu huun javaan huun khushbuu huun main havaa huun main hii mahakataa huaa huun samaan rangiilii main diivaanii nashiilii main mastaanii main jaam huun jaam kaa main nashaa aajamaa le bas hosh udaa de das	main huun havaa kaa jhonkaa havaa ko kisane rokaa tokaa hai laharon ko kisane yahaan suuraj kii kiranon jaise jangal men hiranon jaise baadal bhii aavaaraa ghuumen jahaan dil churaa le bas hosh udaa de das ho ho ho ho saansen merii tuufaanii	vande maataram vande maataram hai yahaan koii mard jo mujhe chhuu sake aankhon se paradaa hataa de nazaron se nazaren ladaa le he jalaakar javaanii chingaariyon ko havaa de mardon men tuu hii to ik mard hai apanii mardaanagii aa dikhaa de dikhaa de udaa de mere hosh bas das haan tuu chaahie mujhako bas das merii raahon men nigaahon men aa phans aa le le mujhe panaahon men aur kas das das das das	jay hind kaho jay he jay he is vatan kii jay is chaman kii jay	qaatil javaanii jaalim samaan hone lagii hai fizaa badagumaan har jism pyaasaa hai har ruuh pyaasii hai aise men jaanejaan duurii hai kyon darmiyaan mujhase jo nazar milaataa hai merii lau men vo ho jaataa hai fanaa merii aag se khelaa hai tuune ho jaaegaa tuu jal jal ye dhuaan barason kii tarasii ye nazar hai barason ke pyaase ye adhar hain naa tarasaa mujhe naa taras das das das das 
pariishaan ho ke merii kaak aakir dil na ban jaae, nonfilm,-1,mehdi hasan,,,	pariishaan ho ke merii kaak aakir dil na ban jaae jo mushkil ab hai yaarab phir wohii mushkil na ban jaae	kabhii chhodii huii manzil bhii yaad aatii hai raahii ko khatak sii hai jo siine men gamemanzil na ban jaae	banaayaa ishq ne dariyaaenaapaigaagaraan mujhako ye merii kud nigahadaarii meraa saahil na ban jaae	aruuzeaadamekaakii se anjum sahame jaate hain ke ye tuutaa huaa taaraa mahekaamil na ban jaae 
tere binaa zindagii se koii shikavaa to nahiin shikavaa nahiin,aandhi,-1,lata kishore,r d burman,gulzar, lataa tere binaa zindagii se koi shikavaa to nahiin shikavaa nahiin shikavaa nahiin shikavaa nahiin tere binaa zindagii bhii lekin	zindagii to nahiin zindagii nahiin zindagii nahiin zindagii nahiin	kaash aisaa ho tere kadamon se	chun ke manzil chale	aur kahiin duur kahiin	aur kahiin duur kahiin	tum gar saath ho	manzilon kii kamii to nahiin tere binaa zindagii se koi shikavaa to nahiin shikavaa nahiin	jii men aataa hai	tere daaman men	sar chhupaa ke ham	rote rahen rote rahen	rote rahen rote rahen	terii bhii aankhon men	aansuon kii namii to nahiin kishor tere binaa zindagii se koi shikavaa to nahiin shikavaa nahiin tere binaa zindagii bhii lekin	zindagii	to nahiin zindagii nahiin	tum jo kah do to aajakii raat chaand duubegaa nahiin raat ko rok lo raat ki baat hai	aur zindagii baakii to nahiin tere binaa zindagii se koi shikavaa to nahiin shikavaa nahiin tere binaa zindagii bhii lekin	zindagii	to nahiin zindagii nahiin
takliidemohammad bhuul naa jaa,nonfilm,-1,talat husn bano chorus,neumann orchestra,faiyaz hashmi, takliidemohammad bhuul naa jaa tauhiid kaa dankaa aaj bajaa	tuu muslim hai ye yaad rahe aazaad huaa	aazaad	rahe terii duniyaa aabaad rahe duniyaa ik apanii naii banaa	nabiyon ne dii ye gawaahii hai tuu raahekudaa kaa raahii hai ahmad kii gulaamii shaahii hai ye saabit kar de aaj	zaraa	islaam sukuun kaa hai saayaa insaan ne yahaan sukh hai paayaa faiyaz ye diin jab se aayaa muhtaajoganii kaa farq mitaa
avadhuutaa yugan yugan ham yogii,triveni bhajans nonfilm,-1,kumar gandharva vasundhara komkali,kumar gandharva,kabir, avadhuutaa yugan yugan ham yogii aavainaa jaay mitainaa kabahuun sabad anaahat bhogii	sabhii thaur jamaat hamarii sab hii thaur par melaa ham sab men sab hain hamamaan ham hai bahurii akelaa	ham hii siddha samaadhi ham hii ham maunii ham bole ruup saruup aruup dikhaake ham hii men ham to khelen	kahe kabiiraa jo suno bhaaii saadho naahiinakoii ichchhaa apanii madhii men aap main doluun sahaj swaichchhaa
jummaa chummaa de de jummaa chummaa de de chummaa,hum,0,amitabh,laxmikantpyarelal,anand bakshi, jummaa jummaa jummaa jummaa jummaa jummaa jummaa jummaa jummaa jummaa jummaa jummaa	are o jummaa merii jaaneman baahar nikal aaj jummaa hai aaj kaa vaadaa hai dekh main aa gayaa tuu bhii jaldii aa mujhe mat aur tadapaa	are tuu bolii thii pichhale jumme ko chummaa duungii agale jumme ko aaj jummaa hai to aajaa aajaa	jummaa chummaa de de	jummaa chummaa de de chummaa jumme ke din kiyaa chumme kaa vaadaa jumme ko tod diyaa chumme kaa vaadaa le aa gayaa re phir jummaachummaa	jumme ke badale men kyaa doge bolo to lenaa kyaa denaa kyaa lenaa kyaa denaa kyaa lenaa kyaa lenaa kyaa chummaa do	main kuchh na duungaa isase zyaadaa chummaa chummaa de de	jummaa chummaa de de chummaa	kar to na chumme javar jummaa chummaa na de	jummaa chummaa na de chummaa jummaa chummaa de de	jummaa chummaa de de chummaa	main teraa jii bhar duun sochaa thaa haan kar duun phir kaahe phir kaahe naa kar dii	naa kar dii phir kaahe naa kar dii main sad ke jaan kar duun main ne badal diyaa iraadaa jummaa chummaa na de	jummaa chummaa naa de chummaa 
zaraa chehare se kamalii hataa do yaa rasuulallaah,,-1,jagjit singh chitra singh,,,	zaraa chehare se kamalii hataa do yaa rasuulallaah hamen bhii apanaa diivaanaa banaa do yaa rasuulallaah zaraa chehare se kamalii hataa do yaa rasuulallaah	muhabbat gair se merii chudaa do yaa rasuulallaah meri soyi hui qisamat jagaa do ya rasuulallah zaraa chehare se kamalii hataa do yaa rasuulallaah	badii qisamat hamaarii hai ke ummat men tumhaarii hai bharosaa diinoduniyaa men tumhaaraa yaa rasuulallaah zaraa chehare se kamalii hataa do yaa rasuulallaah	andherii qabr men mujh ko akelaa chod jaayenge vahaan ho fazl se tere ujaalaa yaa rasuulallaah zaraa chehare se kamalii hataa do yaa rasuulallaah	kudaa mujh ko madiine men jo pahunchaaye to behatar hai ke roze par hii de duun jaan jaa kar yaa rasuulallaah zaraa chehare se kamalii hataa do yaa rasuulallaah 
